Title,Item Type,Abbreviation,Dept,Building
2300 Delaware Avenue,,,No,Yes
Academic Resources Center,,,No,Yes
Arboretum,,,No,Yes
Baobab Room,,,No,Yes
Barn Theater,,,No,Yes
Baskin Engineering Building,,,No,Yes
Bay Tree Building,,,No,Yes
Cardiff House,,,No,Yes
Center for Adaptive Optics,,,No,Yes
Clark Kerr Hall,,,No,Yes
Classroom Unit,,,No,Yes
College Eight,,,No,Yes
College Nine,,,No,Yes
College Ten,,,No,Yes
Colleges Nine/Ten Multi-purpose Room,,,No,Yes
Communications Building,,,No,Yes
Core West Parking Structure,,,No,Yes
Cowell College,,,No,Yes
Cowell College Provost House,,,No,Yes
Cowell Conference Room,,,No,Yes
Crown College,,,No,Yes
Digital Arts Research Center,,,No,Yes
Earth and Marine Sciences Building,,,No,Yes
East Field House,,,No,Yes
East Remote Parking Lot,,,No,Yes
Engineering 2,,,No,Yes
Experimental Theater,,,No,Yes
Faculty Housing,,,No,Yes
Family Student Housing,,,No,Yes
Farm and Garden,,,No,Yes
Fire House,,,No,Yes
Gamelan Studio,,,No,Yes
"Gay, Lesbian, Bisexual, Transgender, Intersex Resource Center/GLBTIRC",,,No,Yes
Graduate Student Commons,,,No,Yes
Graduate Student/Redwood Grove Apts.,,,No,Yes
H Barn,,,No,Yes
Hahn Art Facility,,,No,Yes
Hahn Student Services Building,,,No,Yes
Health Center (Student Health Center),,,No,Yes
Humanities and Social Sciences Facility,,,No,Yes
Information Kiosk,,,No,Yes
Interdisciplinary Sciences Building,,,No,Yes
Jack Baskin Engineering,,,No,Yes
Kerr Hall,,,No,Yes
Kresge College,,,No,Yes
Kresge East (now Redwood Grove Apartments),,,No,Yes
"Library, McHenry",,,No,Yes
"Library, Science & Engineering",,,No,Yes
Lick Observatory (Mt. Hamilton),,,No,Yes
Long Marine Laboratory,,,No,Yes
Lower Quarry,,,No,Yes
Lower West Field,,,No,Yes
McHenry Library,,,No,Yes
Media Theater,,,No,Yes
Merrill College,,,No,Yes
"Monterey Bay Education, Science and Technology Center (MBEST)",,,No,Yes
Music Center,,,No,Yes
Natural Sciences 2 Building and Annex,,,No,Yes
North Perimeter Parking Lot,,,No,Yes
Oakes College,,,No,Yes
Physical Sciences Building,,,No,Yes
"Police, University",,,No,Yes
Pool,,,No,Yes
Porter College,,,No,Yes
Post Office Substation,,,No,Yes
Quarry Plaza,,,No,Yes
Recital Hall,,,No,Yes
Redwood Building,,,No,Yes
Redwood Grove Apartments,,,No,Yes
Science & Engineering Library,,,No,Yes
Second Stage,,,No,Yes
Seymour Marine Discovery Center,,,No,Yes
Shakespeare Santa Cruz Glen,,,No,Yes
Sinsheimer Laboratories,,,No,Yes
Social Sciences 1,,,No,Yes
Social Sciences 2,,,No,Yes
Stevenson College,,,No,Yes
Student Health Center,,,No,Yes
Student Union,,,No,Yes
Theater Arts Center,,,No,Yes
Theater Arts Mainstage,,,No,Yes
Thimann Laboratories and Thimann Lecture Hall,,,No,Yes
Ticket Office,,,No,Yes
Trailer Park,,,No,Yes
University Business Park,,,No,Yes
University Center,,,No,Yes
University House,,,No,Yes
University Inn and Conference Center,,,No,Yes
University Town Center,,,No,Yes
Upper Quarry Amphitheater,,,No,Yes
Village Housing,,,No,Yes
Wagstaff Fireside Lounge,,,No,Yes
Wellness Center,,,No,Yes
West Field House,,,No,Yes